Date,Weekday,,Operations,Hall A,Hall A,Hall B,Hall B,Hall C,Hall C,Hall D,Hall D,Priority,Pass,Notes
7/22/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/23/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/24/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/25/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/26/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/27/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
7/28/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/29/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/30/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
7/31/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
8/1/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
8/2/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
8/3/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
8/4/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
8/5/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
8/6/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
8/7/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
8/8/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,Pass change,,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
8/9/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
8/10/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
8/11/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
8/12/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
8/13/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
8/14/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
8/15/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,Pass change,,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
8/16/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
8/17/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
8/18/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/19/2022,Friday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/20/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/21/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/22/2022,Monday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/23/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/24/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/25/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_ON,10.5/200/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
8/26/2022,Friday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,Reconfigure,,C,-/-/3/-,
8/27/2022,Saturday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
8/28/2022,Sunday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
8/29/2022,Monday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
8/30/2022,Tuesday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
8/31/2022,Wednesday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
9/1/2022,Thursday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
9/2/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/3/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/4/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/5/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/6/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/7/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/8/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/9/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
9/10/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Target Cooldown,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/11/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Target Cooldown,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/12/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/13/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/14/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/15/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/16/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/17/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/18/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
9/19/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,PASS CHANGE,,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/20/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/21/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/22/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/23/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/24/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/25/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/26/2022,Monday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/27/2022,Tuesday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/28/2022,Wednesday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
9/29/2022,Thursday,2.1,Physics,Pass change,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
9/30/2022,Friday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/1/2022,Saturday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,Start of new Fiscal Year (FY23)
10/2/2022,Sunday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/3/2022,Monday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,GEN Pending Completion of ERR
10/4/2022,Tuesday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,Requires Good Pol. 3He Cells
10/5/2022,Wednesday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/6/2022,Thursday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,At 1st pass Hall A does not get to set Wien
10/7/2022,Friday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,Hall A beam will be transversely polarized.
10/8/2022,Saturday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,** = needs to complete ERR
10/9/2022,Sunday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,
10/10/2022,Monday,2.1,Physics,Reconfigure,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,-/5/5/5.5,
10/11/2022,Tuesday,2.1,Physics,Pass change,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,2/5/5/5.5,
10/12/2022,Wednesday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,2/5/5/5.5,
10/13/2022,Thursday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/14/2022,Friday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/15/2022,Saturday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/16/2022,Sunday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/17/2022,Monday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/18/2022,Tuesday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/19/2022,Wednesday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/20/2022,Thursday,2.1,Physics,Reconfigure,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,C/A/D/B,-/5/5/5.5,
10/21/2022,Friday,2.1,Physics,Pass change,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,C/A/D/B,3/5/5/5.5,
