Date,Weekday,(GeV/Pass),Operation Status,Hall A Exp,Hall A Params,Hall B Exp,Hall B Params,Hall C Exp,Hall C Params,Hall D Exp,Hall D Params,Priority,Pass,Notes
06/25/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
06/26/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
06/27/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/28/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/29/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
06/30/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/01/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/02/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/03/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/04/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/05/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/06/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/07/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/08/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/09/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/10/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/11/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/12/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/13/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/14/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/15/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/16/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/17/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/18/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/19/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,Today
07/20/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/21/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
07/22/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/23/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/24/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/25/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/26/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/27/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/5/5.5,
07/28/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/29/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/30/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
07/31/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
08/01/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
08/02/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
08/03/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,B/C/D,-/5/5/5.5,
08/04/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
08/05/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
08/06/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
08/07/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,10.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/5/5.5,
08/08/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,Pass change,,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
08/09/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
08/10/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
08/11/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,C/D/B,-/5/4/5.5,
08/12/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
08/13/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
08/14/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,8.5/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/4/5.5,
08/15/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,Pass change,,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
08/16/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
08/17/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,E12-13-008/A,11.7/60/-/250,D/B/C,-/5/3/5.5,
08/18/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/19/2022,Friday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/20/2022,Saturday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/21/2022,Sunday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/22/2022,Monday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/23/2022,Tuesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/24/2022,Wednesday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/25/2022,Thursday,2.1,Physics,Install,,RUN GROUP C/FT_ON,10.5/200.0/p/250,E12-19-006,6.4/80/-/250,Reconfigure,,B/C,-/5/3/-,
08/26/2022,Friday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,Reconfigure,,C,-/-/3/-,
08/27/2022,Saturday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
08/28/2022,Sunday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
08/29/2022,Monday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
08/30/2022,Tuesday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
08/31/2022,Wednesday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
09/01/2022,Thursday,2.1,Physics,Install,,Reconfigure,,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,C/D,-/-/3/5.5,
09/02/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/03/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/04/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/05/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/06/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/07/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/08/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/09/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-19-006,6.4/80/-/250,E12-10-011,11.7/200/-/250,D/B/C,-/5/3/5.5,
09/10/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Target Cooldown,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/11/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Target Cooldown,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/12/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/13/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/14/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/15/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/16/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/17/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/18/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,Reconfigure,,E12-10-011,11.7/200/-/250,B/D,-/5/-/5.5,
09/19/2022,Monday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,PASS CHANGE,,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/20/2022,Tuesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/21/2022,Wednesday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/22/2022,Thursday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/23/2022,Friday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/24/2022,Saturday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/25/2022,Sunday,2.1,Physics,Install,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/26/2022,Monday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/27/2022,Tuesday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-17-005,10.5/80/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/28/2022,Wednesday,2.1,Physics,Lockup,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,C/D/B,-/5/5/5.5,
09/29/2022,Thursday,2.1,Physics,Pass change,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
09/30/2022,Friday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/01/2022,Saturday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,Start of new Fiscal Year (FY23)
10/02/2022,Sunday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/03/2022,Monday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,GEN Pending Completion of ERR
10/04/2022,Tuesday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,Requires Good Pol. 3He Cells
10/05/2022,Wednesday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,A/D/B/C,1/5/5/5.5,
10/06/2022,Thursday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,At 1st pass Hall A does not get to set Wien
10/07/2022,Friday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,Hall A beam will be transversely polarized.
10/08/2022,Saturday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,** = needs to complete ERR
10/09/2022,Sunday,2.1,Physics,E12-09-016 **,2.1/60/-/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,1/5/5/5.5,
10/10/2022,Monday,2.1,Physics,Reconfigure,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,-/5/5/5.5,
10/11/2022,Tuesday,2.1,Physics,Pass change,,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,2/5/5/5.5,
10/12/2022,Wednesday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,D/B/C/A,2/5/5/5.5,
10/13/2022,Thursday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/14/2022,Friday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/15/2022,Saturday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/16/2022,Sunday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
10/17/2022,Monday,2.1,Physics,E12-09-016 **,4.2/60/p/250,Run Group C/FT_OFF,10.5/200/p/250,E12-10-008,10.5/60/-/250,E12-10-011,11.7/200/-/250,B/C/A/D,2/5/5/5.5,
